latitude;longitude;classificacao_acidente;relev
-11.77460203;-49.10744996;Com Vítimas Feridas;1
-22.75223028;-43.4379103;Com Vítimas Fatais;1
-27.59193546;-48.61824557;Com Vítimas Feridas;1
-11.44624577;-61.43761218;Com Vítimas Feridas;1
-25.67503796;-50.75089805;Com Vítimas Feridas;1
-8.76751908;-63.88427496;Sem Vítimas;1
-26.66327987;-48.68898153;Sem Vítimas;1
-23.29286194;-51.16154861;Com Vítimas Feridas;1
-9.17491283;-36.02935415;Com Vítimas Fatais;1
-29.997789;-51.20779;Com Vítimas Feridas;1
-27.07756;-49.49448;Com Vítimas Feridas;1
-26.89436315;-52.4613905;Com Vítimas Feridas;1
-7.9005152;-34.90180641;Com Vítimas Feridas;1
-16.00440488;-54.92002387;Com Vítimas Feridas;1
-12.38;-38.88;Com Vítimas Feridas;1
-26.99654133;-48.65564711;Com Vítimas Fatais;1
1.02196945;-51.09020434;Sem Vítimas;1
-16.7036;-49.342;Com Vítimas Feridas;1
-15.603384;-47.684692;Com Vítimas Feridas;1
-22.98236971;-45.46436617;Com Vítimas Feridas;1
-12.87957905;-38.43213893;Com Vítimas Feridas;1
-27.95672412;-48.6767588;Sem Vítimas;1
-6.76718198;-35.13348472;Com Vítimas Feridas;1
-25.1451179;-50.4876851;Com Vítimas Feridas;1
-7.21406608;-41.28729306;Com Vítimas Feridas;1
-21.08945416;-45.06864195;Com Vítimas Feridas;1
-1.3101929;-47.74456398;Com Vítimas Feridas;1
-21.08845219;-49.67466361;Com Vítimas Feridas;1
-9.02218019;-35.67965775;Com Vítimas Feridas;1
-16.150995;-49.044746;Com Vítimas Feridas;1
-19.76747537;-47.98725511;Com Vítimas Feridas;1
-5.84949622;-35.20890752;Com Vítimas Feridas;1
-20.3102109;-44.44993116;Sem Vítimas;1
-27.16292;-48.61129;Com Vítimas Feridas;1
-16.131285;-47.957923;Sem Vítimas;1
-19.76099646;-43.0362466;Com Vítimas Feridas;1
-22.381704;-42.954777;Com Vítimas Feridas;1
-11.68671732;-61.18347731;Com Vítimas Feridas;1
-24.19592033;-47.36368081;Com Vítimas Feridas;1
-22.99959786;-44.47765217;Com Vítimas Feridas;1
-27.66229079;-51.45618168;Sem Vítimas;1
-25.93367517;-48.9113003;Sem Vítimas;1
-10.32002103;-39.06425211;Com Vítimas Fatais;1
-5.7752;-35.2551;Com Vítimas Fatais;1
-31.95483688;-52.30684982;Sem Vítimas;1
-22.76457445;-42.86989322;Com Vítimas Feridas;1
-15.638752;-47.749599;Com Vítimas Fatais;1
-18.96648187;-54.82388379;Com Vítimas Feridas;1
-3.9827375;-38.51451302;Com Vítimas Feridas;1
-16.7033;-49.2311;Sem Vítimas;1
